filename,pitch_mean,pitch_std,energy_mean,energy_std,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,spectral_centroid_mean,spectral_bandwidth_mean,spectral_rolloff_mean,zcr_mean
s_045_1.wav,238.3064,24.5115,0.063325,0.032558,-280.7098,115.5013,110.8664,44.8324,4.8741,35.0588,28.3431,15.7767,-34.9657,28.9943,10.9539,12.629,-24.7394,18.595,0.2974,13.9825,-0.531,12.0302,-2.617,10.4134,-0.9198,9.3397,1.068,8.904,1.7957,8.0787,1300.4999,1377.4617,2510.6534,0.08283
s_046_1.wav,265.6011,45.7853,0.06559,0.033759,-204.7148,49.6745,76.3111,50.1052,21.378,35.5408,-2.2588,29.8447,-14.372,22.5982,14.2727,12.4717,-3.5899,10.8322,0.1894,9.9614,-3.9397,10.1466,4.2468,8.8403,2.2601,9.4108,-13.0811,14.8071,0.1308,9.4484,2269.8701,1953.4448,4368.4028,0.163053
s_047_1.wav,220.5649,27.0307,0.062139,0.032038,-255.0924,52.5538,115.6386,43.878,-2.6253,25.9619,8.8806,26.7552,-25.1507,21.955,20.3757,20.1026,-26.2541,20.1004,-5.7846,11.6538,-2.6709,13.8875,-6.9287,12.3251,4.4743,11.0562,-2.2556,9.3926,1.1424,6.0117,1386.7564,1433.7202,2609.976,0.104943
s_048_1.wav,244.6409,26.8678,0.071751,0.026103,-250.7431,51.846,148.5396,44.9756,-11.1265,33.4793,-0.7295,25.8313,-4.3827,21.0034,-6.2321,15.4138,-36.8762,15.8504,-8.9644,12.0171,-4.4978,8.5891,-5.4548,9.4222,1.1562,9.6717,-10.7842,9.5034,15.3428,6.9398,1167.4911,1275.229,2238.3814,0.090201
s_049_1.wav,253.632,23.5927,0.067921,0.029076,-229.2873,34.3911,105.3626,47.0132,16.7433,27.1457,-13.9688,24.3865,2.9904,17.6668,-18.1929,10.8991,0.3189,9.6586,-11.9036,11.3886,-1.2683,7.7441,-11.2941,8.0994,1.7581,9.1687,-5.0967,10.2621,-0.699,5.4318,1933.0114,1873.5541,3396.555,0.160374
s_050_1.wav,191.082,22.866,0.06538,0.025125,-191.4537,64.1607,65.5919,53.0894,19.8588,38.0054,19.0534,23.6886,-7.7376,14.1353,-2.3164,14.9098,-16.0798,13.3231,1.5935,15.8861,-10.3498,12.1587,4.8452,11.8431,-7.7265,12.8253,1.8642,7.7791,3.8643,7.7301,2199.312,1911.2102,4262.2768,0.161399
s_051_1.wav,211.4833,27.8078,0.065638,0.028578,-205.4518,51.2353,49.4833,40.7646,34.1327,20.5097,47.5866,27.2071,-20.2493,24.1895,-3.4185,10.6649,-5.9564,7.3306,-0.4878,9.058,-9.3394,9.9373,-3.7102,5.1056,-6.0079,6.3031,-9.9332,10.9727,-0.7,7.8474,2347.6684,1965.5595,4465.5071,0.135521
s_052_1.wav,181.2322,45.2041,0.063418,0.028199,-238.4459,87.592,52.9099,66.3546,18.3534,28.9818,18.9349,36.5139,-27.839,22.2122,-3.3639,15.8237,-16.1996,11.3059,-0.7161,11.2386,-12.7155,9.82,-5.9814,6.5631,-3.7536,9.1473,-15.9293,9.3594,-2.4623,8.3934,2279.769,1773.8492,4050.895,0.174587
s_053_1.wav,242.6142,56.3446,0.070669,0.025076,-231.4862,53.6025,118.7987,28.4174,-5.8031,26.994,5.5667,17.7355,-8.895,18.8412,-14.3185,14.4333,-20.357,12.1822,-10.7773,8.7306,-10.4698,7.101,-6.6426,10.0904,-4.7379,7.4849,-15.0804,10.4797,3.5579,7.4195,1235.214,1434.9856,2324.2188,0.076515
s_054_0.wav,153.5922,46.1645,0.07257,0.025847,-234.3698,60.097,114.1746,36.6984,16.5635,22.3924,31.8765,16.938,-0.3004,25.1862,-11.0841,16.3105,-4.7962,13.1326,-8.1286,13.5031,-6.9934,8.5317,-4.3291,7.5402,-8.8113,9.9458,-6.0193,10.9906,-8.7391,7.9003,1204.957,1551.6336,2450.5551,0.054026
s_055_1.wav,186.5557,17.8613,0.066088,0.029785,-235.237,68.433,108.1167,65.4669,19.1834,29.1419,5.4112,17.0752,-21.4532,21.0949,-11.0086,16.1265,-17.4533,14.4008,-4.8897,11.4224,-13.278,8.8316,-1.2754,7.7694,-6.6993,8.1113,-10.4743,11.0522,-0.3335,7.5577,1660.1912,1502.7932,2811.481,0.136075
